schema,table_name,index_name,indexdef,is_unique,is_primary,is_valid,is_ready,is_partial,has_expressions,key_atts,total_atts,constraint_owned,constraint_type,index_bytes,idx_scan,idx_tup_read,idx_tup_fetch,last_idx_scan
public,style_guide_files,idx_style_guide_files_tag_search_trgm,CREATE INDEX idx_style_guide_files_tag_search_trgm ON public.style_guide_files USING gin (tag_search_text extensions.gin_trgm_ops),False,False,True,True,False,False,1,1,False,,74211328,0,0,0,
public,dam_search_documents,idx_dam_search_documents_tsv,CREATE INDEX idx_dam_search_documents_tsv ON public.dam_search_documents USING gin (search_tsv),False,False,True,True,False,False,1,1,False,,71090176,150,2457667,0,2026-08-31 19:44:47.946074-04
plm,nbcu_asset_ip_family,nbcu_asset_ip_family_pkey,"CREATE UNIQUE INDEX nbcu_asset_ip_family_pkey ON plm.nbcu_asset_ip_family USING btree (capture_id, asset_source_key, ip_family_key)",True,True,True,True,False,False,3,3,True,p,68501504,0,0,0,
public,assets,assets_relative_path_unique,CREATE UNIQUE INDEX assets_relative_path_unique ON public.assets USING btree (relative_path),True,False,True,True,False,False,1,1,True,u,62840832,897651,881455,876397,2026-09-04 16:46:34.176568-04
public,assets,idx_assets_full_text_search,"CREATE INDEX idx_assets_full_text_search ON public.assets USING gin (to_tsvector('simple'::regconfig, ((((((((((((((((((COALESCE(filename, ''::text) || ' '::text) || COALESCE(relative_path, ''::text)) || ' '::text) || COALESCE(cover_description, ''::text)) || ' '::text) || COALESCE(ai_description, ''::text)) || ' '::text) || COALESCE(scene_description, ''::text)) || ' '::text) || COALESCE(customer, ''::text)) || ' '::text) || COALESCE(program, ''::text)) || ' '::text) || COALESCE(licensor_name, ''::text)) || ' '::text) || COALESCE(property_name, ''::text)) || ' '::text) || COALESCE(product_category, ''::text)))) WHERE (is_deleted = false)",False,False,True,True,True,True,1,1,False,,62423040,0,0,0,
plm,dcp_asset,dcp_asset_unique,"CREATE UNIQUE INDEX dcp_asset_unique ON plm.dcp_asset USING btree (source_system, source_path)",True,False,True,True,False,False,2,2,True,u,57966592,0,0,0,
plm,nbcu_asset,nbcu_asset_pkey,"CREATE UNIQUE INDEX nbcu_asset_pkey ON plm.nbcu_asset USING btree (capture_id, asset_source_key)",True,True,True,True,False,False,2,2,True,f,49987584,0,0,0,
plm,nbcu_asset,nbcu_asset_pkey,"CREATE UNIQUE INDEX nbcu_asset_pkey ON plm.nbcu_asset USING btree (capture_id, asset_source_key)",True,True,True,True,False,False,2,2,True,f,49987584,0,0,0,
plm,nbcu_asset,nbcu_asset_pkey,"CREATE UNIQUE INDEX nbcu_asset_pkey ON plm.nbcu_asset USING btree (capture_id, asset_source_key)",True,True,True,True,False,False,2,2,True,f,49987584,0,0,0,
plm,nbcu_asset,nbcu_asset_pkey,"CREATE UNIQUE INDEX nbcu_asset_pkey ON plm.nbcu_asset USING btree (capture_id, asset_source_key)",True,True,True,True,False,False,2,2,True,f,49987584,0,0,0,
plm,nbcu_asset,nbcu_asset_path_uk,"CREATE UNIQUE INDEX nbcu_asset_path_uk ON plm.nbcu_asset USING btree (capture_id, asset_path)",True,False,True,True,False,False,2,2,True,u,49987584,0,0,0,
plm,nbcu_asset,nbcu_asset_pkey,"CREATE UNIQUE INDEX nbcu_asset_pkey ON plm.nbcu_asset USING btree (capture_id, asset_source_key)",True,True,True,True,False,False,2,2,True,p,49987584,0,0,0,
plm,nbcu_asset,nbcu_asset_pkey,"CREATE UNIQUE INDEX nbcu_asset_pkey ON plm.nbcu_asset USING btree (capture_id, asset_source_key)",True,True,True,True,False,False,2,2,True,f,49987584,0,0,0,
plm,nbcu_asset,nbcu_asset_pkey,"CREATE UNIQUE INDEX nbcu_asset_pkey ON plm.nbcu_asset USING btree (capture_id, asset_source_key)",True,True,True,True,False,False,2,2,True,f,49987584,0,0,0,
public,style_guide_file_tags,style_guide_file_tags_pkey,CREATE UNIQUE INDEX style_guide_file_tags_pkey ON public.style_guide_file_tags USING btree (id),True,True,True,True,False,False,1,1,True,p,46170112,0,0,0,
