Pager usage is off.
Output format is unaligned.
Field separator is "|".
Null display is "(null)".
Timing is off.
SET
SET
SET
=====================================================================
== SECTION 00 :: CAPTURE HEADER
=====================================================================
-- target_schema variable: designflow
-- exact_count_max_bytes : 0
database_name|connected_as|server_version_full|server_version_num|search_path|timezone|capture_time|target_schema
postgres|albert_read_only|PostgreSQL 17.9 on x86_64-pc-linux-gnu, compiled by Debian clang version 12.0.1, 64-bit|170009|"$user", public|UTC|2026-08-10 23:29:49.368831+00|designflow

== SECTION 01 :: SETTINGS THAT AFFECT SCHEMA BEHAVIOUR
name|setting|unit|source
DateStyle|ISO, MDY|(null)|configuration file
default_text_search_config|pg_catalog.english|(null)|configuration file
default_toast_compression|pglz|(null)|default
default_transaction_read_only|on|(null)|session
IntervalStyle|postgres|(null)|default
max_connections|500|(null)|configuration file
row_security|on|(null)|default
server_encoding|UTF8|(null)|default
server_version|17.9|(null)|default
shared_buffers|156544|8kB|configuration file
standard_conforming_strings|on|(null)|default
TimeZone|UTC|(null)|configuration file

== SECTION 02 :: SCHEMAS PRESENT (settles the dflow / designflow question)
schema_name|owner|tables|views|matviews|sequences|total_bytes
artist_types_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
artists_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
auth_token_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
comments_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
companyCode_comCode_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
customers_customers_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
deliveryLocation_deliveryLocation_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
divisionCode_divCode_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
email_logs_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
externalApi_externalApi_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
externalCustomer_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
externalVendor_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
groups_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
itemDepth__id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
itemDetail_item_pk_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
itemHeader_item_num_id_pk _seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
itemLicenseImage_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
itemPackage_item_package_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
itemSize_itemSize_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
itemType_item_type_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
item_character_associations_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
item_prod_order_detail_associations_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
licenseList_licenseList_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
licensingFeedbackReply_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
licensingMilestone_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
licensingStatus_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
merchGroupHeaders_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
merchGroupMaster_mg_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
merchGroupRelations_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
productUserAssignment_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
product_category_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
sample_attachment_sample_attachment_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
sample_box_box_id_pk_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
sample_comments_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
sample_event_event_id_pk_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
sample_factory_group_factory_group_id_pk_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
sample_sample_id_pk_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
sample_shipment_item_shipment_item_id_pk_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
signUpToken_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
user_notification_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
users_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
vendorGroup_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
vendor_vendor_id_seq|sequence|postgres|f|f|p|8192|8192 bytes|(null)
AdditionalUserEmail|table|postgres|f|f|p|32768|32 kB|(null)
AuditLog|table|postgres|f|f|p|418963456|400 MB|(null)
ContainerHeader|table|postgres|f|f|p|16384|16 kB|(null)
DesignTeamTime|table|postgres|f|f|p|8192|8192 bytes|(null)
DesignTeamTimes|table|postgres|f|f|p|57344|56 kB|(null)
FOBCountry|table|postgres|f|f|p|32768|32 kB|(null)
Factory|table|postgres|f|f|p|253952|248 kB|(null)
FactoryTime|table|postgres|f|f|p|8192|8192 bytes|(null)
FactoryTimes|table|postgres|f|f|p|24576|24 kB|(null)
GridAccessLevel|table|postgres|f|f|p|163840|160 kB|(null)
GridChildrenLayout|table|postgres|f|f|p|65536|64 kB|(null)
GridChildrenLayoutOrder|table|postgres|f|f|p|32768|32 kB|(null)
GridLayout|table|postgres|f|f|p|393216|384 kB|(null)
GridViewState|table|postgres|f|f|p|131072|128 kB|(null)
LicenseFeedBacks|table|postgres|f|f|p|65536|64 kB|(null)
LicensingTime|table|postgres|f|f|p|24576|24 kB|(null)
LicensingTimes|table|postgres|f|f|p|24576|24 kB|(null)
OrderLeadTime|table|postgres|f|f|p|8192|8192 bytes|(null)
ProdOrderDetail|table|postgres|f|f|p|4677632|4568 kB|(null)
ProdOrderHeader|table|postgres|f|f|p|1204224|1176 kB|(null)
ProdPaymentTerms|table|postgres|f|f|p|8192|8192 bytes|(null)
ProdShipmentTransitTime|table|postgres|f|f|p|16384|16 kB|(null)
ProductNickname|table|postgres|f|f|p|24576|24 kB|(null)
RFQContainer|table|postgres|f|f|p|24576|24 kB|(null)
RFQGroup|table|postgres|f|f|p|122880|120 kB|(null)
RFQItem|table|postgres|f|f|p|8765440|8560 kB|(null)
RFQItemDivision|table|postgres|f|f|p|16384|16 kB|(null)
RFQItemStatus|table|postgres|f|f|p|32768|32 kB|(null)
RFQStep|table|postgres|f|f|p|32768|32 kB|(null)
RFQVendor|table|postgres|f|f|p|5341184|5216 kB|(null)
RFQWhse|table|postgres|f|f|p|24576|24 kB|(null)
RolePermissions|table|postgres|f|f|p|106496|104 kB|(null)
Roles|table|postgres|f|f|p|24576|24 kB|(null)
SeasonCode|table|postgres|f|f|p|32768|32 kB|(null)
ShippingPort|table|postgres|f|f|p|16384|16 kB|(null)
StandardizedDetail|table|postgres|f|f|p|319488|312 kB|(null)
StandardizedGroup|table|postgres|f|f|p|65536|64 kB|(null)
StandardizedProductElement|table|postgres|f|f|p|32768|32 kB|(null)
