licensor,style_guide,characters,decision_status,suggested_existing_mg06_code,suggested_existing_mg06_desc,decision_basis,folder_property,folder_leaf_match,folder_confidence,fuzzy_mg06_code,fuzzy_mg06_desc,fuzzy_confidence,final_mg06_code
Dis/Mrv/SW,Disney Stitch Franchise,10,NEEDS_REVIEW,,,,Stitch,,63%,,,,
Dis/Mrv/SW,Disney Zombies,10,NEEDS_REVIEW,,,,,,,DVN,DISNEY VILLAINS,33%,
Dis/Mrv/SW,Disney Zombies 2,9,NEEDS_REVIEW,,,,,,,DVN,DISNEY VILLAINS,33%,
Dis/Mrv/SW,Disney Zombies 3,1,NEEDS_REVIEW,,,,,,,DVN,DISNEY VILLAINS,33%,
Dis/Mrv/SW,Doc McStuffins,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Ducktales,16,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Elio,1,NEEDS_REVIEW,,,,_Packaging,1587084 Elio - Packaging,70%,,,,
Dis/Mrv/SW,Emperor's New Groove,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Fancy Nancy,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Finding Dory,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Finding Nemo,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Firebuds,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Goofy Movie,1,NEEDS_REVIEW,,,,,,,PT,MOVIE POSTER,33%,
Dis/Mrv/SW,Haunted Mansion (Theme Park),1,NEEDS_REVIEW,,,,_Packaging,Haunted Mansion Branding,70%,,,,
Dis/Mrv/SW,Hunchback of Notre Dame,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,"Incredibles, The",2,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Kingdom Hearts 3.0,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Lady And The Tramp,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Lightyear,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Lilo & Stitch (Live-Action),1,ACCEPTED_CLEAR_MG06,LSL,LILO AND STITCH LIVE ACTION 2025,Strong existing MG06 name match (70% or higher),Stitch,Live Action,70%,LSL,LILO AND STITCH LIVE ACTION 2025,100%,LSL
Dis/Mrv/SW,"Little Mermaid, The (Live Action)",2,NEEDS_REVIEW,,,,The Little Mermaid,,70%,GDL,GABBY'S DOLLHOUSE LIVE ACTION 2025,33%,
Dis/Mrv/SW,Minnie,3,NEEDS_REVIEW,,,,_Packaging,467122-Minnie-Mouse_-Adult-and-Tween-Branding Packaging-Jun 2024,57%,,,,
Dis/Mrv/SW,Moana (Live-Action),1,NEEDS_REVIEW,,,,Moana Live Action,,100%,GDL,GABBY'S DOLLHOUSE LIVE ACTION 2025,40%,
Dis/Mrv/SW,Moana 2,1,NEEDS_REVIEW,,,,_Packaging,2419461-Moana-2,70%,,,,
Dis/Mrv/SW,MS Disney Plus TV Shows - No Likeness,179,NEEDS_REVIEW,,,,Disney+ Shows,,70%,,,,
Dis/Mrv/SW,MS Disney Plus TV Shows - With Likeness,37,NEEDS_REVIEW,,,,Disney+ Shows,,70%,,,,
Dis/Mrv/SW,Muppet Babies (2018),1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Oswald The Lucky Rabbit,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Pete's Dragon (2016),1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Pete's Dragon (Classic),2,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Pinocchio,3,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Pirates of the Caribbean 2: Dead Man's Chest,42,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Pirates of the Caribbean 3: At Worlds End,53,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Pirates of the Caribbean 4: On Stranger Tides,22,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Pirates of the Caribbean 5: Dead Men Tell No Tales,14,NEEDS_REVIEW,,,,Marvel Universe Publishing Art Archive,X-MEN,57%,XM,X-MEN,57%,
Dis/Mrv/SW,Pirates of the Caribbean: Curse of the Black Pearl,18,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Pixar Collection,59,NEEDS_REVIEW,,,,Pixar,,70%,,,,
Dis/Mrv/SW,Pixar Shorts - Luxo Jr,1,NEEDS_REVIEW,,,,Pixar,,60%,,,,
Dis/Mrv/SW,Pixar Studios Logo,1,NEEDS_REVIEW,,,,Pixar,,63%,,,,
Dis/Mrv/SW,Pocahontas,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Preschool CG Mickey (& Friends),2,NEEDS_REVIEW,,,,_Packaging,Mickey-and-Friends_-Branding,70%,FN,FRIENDS,60%,
Dis/Mrv/SW,Preschool CG Minnie (& Friends),4,NEEDS_REVIEW,,,,,,,FN,FRIENDS,60%,
Dis/Mrv/SW,Puppy Dog Pals,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Pupstruction,2,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Ratatouille,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Raya and the Last Dragon,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Robin Hood,1,NEEDS_REVIEW,,,,Robin Hood,,100%,,,,
Dis/Mrv/SW,Soul,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Standard Characters,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Steamboat Willie,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Strange World,1,NEEDS_REVIEW,,,,,,,DR,DR. STRANGE,33%,
Dis/Mrv/SW,Suite Life of Zack and Cody,12,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,T.O.T.S. (TINY ONES TRANSPORT SERVICE),1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,That's So Raven,9,NEEDS_REVIEW,,,,Disney Channel,Thats So Raven,50%,,,,
Dis/Mrv/SW,The Good Dinosaur,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,The Incredibles 2,2,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Toy Story,5,ACCEPTED_CLEAR_MG06,TS,TOY STORY 4,Strong existing MG06 name match (70% or higher),Toy Story 4,,100%,TS,TOY STORY 4,100%,TS
Dis/Mrv/SW,Toy Story 2,5,ACCEPTED_CLEAR_MG06,TS,TOY STORY 4,Strong existing MG06 name match (70% or higher),Toy Story 4,,100%,TS,TOY STORY 4,100%,TS
Dis/Mrv/SW,Toy Story 3,36,ACCEPTED_CLEAR_MG06,TS,TOY STORY 4,Strong existing MG06 name match (70% or higher),Toy Story 4,,100%,TS,TOY STORY 4,100%,TS
Dis/Mrv/SW,Toy Story 5,1,ACCEPTED_CLEAR_MG06,TS,TOY STORY 4,Strong existing MG06 name match (70% or higher),Toy Story 4,,100%,TS,TOY STORY 4,100%,TS
Dis/Mrv/SW,Tsum Tsum,63,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Turning Red,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Up,1,ACCEPTED_CLEAR_MG06,UP,UP MOVIE,Strong existing MG06 name match (70% or higher),Pixar,UP,100%,UP,UP MOVIE,72%,UP
Dis/Mrv/SW,Vampirina Ballerina,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Villains,1,ACCEPTED_CLEAR_MG06,VG,VILLAINS GROUP,Strong existing MG06 name match (70% or higher),Villains,,100%,VG,VILLAINS GROUP,84%,VG
