character,legacy_licensor_id,appearances,candidate_codes,style_guides,reason,chosen_mg06_code
Arcade,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Banshee,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Beetle,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Black Tom,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Blink,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Blob,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Boomerang,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Eddie Brock,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Captain Britain,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Cerebro,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Ch`od,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Chameleon,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Amadeus Cho,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Curt Conners,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Corsair,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Danger,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Dark Phoenix,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Dazzler,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Deathbird,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Doop,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Dracula,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Fantomax,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Flint Marko,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Gladiator,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
