character,legacy_licensor_id,appearances,candidate_codes,style_guides,reason,chosen_mg06_code
Mole Man,3,4,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1 | MV(MARVEL ASSORTED STYLES)x1 | SP(SPIDER MAN)x1,Fantastic Four | Marvel Cross-Franchise Art Packs | Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: FFF, MU, SP",
Moloid,3,4,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1 | MV(MARVEL ASSORTED STYLES)x1 | SP(SPIDER MAN)x1,Fantastic Four | Marvel Cross-Franchise Art Packs | Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: FFF, MU, SP",
Namor,3,4,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1 | MV(MARVEL ASSORTED STYLES)x1,Fantastic Four | Marvel Cross-Franchise Art Packs | Marvel Seasonal | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Puppet Master,3,2,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1,Fantastic Four | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Red Ghost,3,2,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1,Fantastic Four | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Reed Richards,3,3,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1,Fantastic Four | Marvel Seasonal | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
She-Thing,3,2,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1,Fantastic Four | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Silver Surfer,3,5,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | GM(GAMERVERSE)x1 | MU(MUPPETS)x1 | MV(MARVEL ASSORTED STYLES)x1,Fantastic Four | Marvel Cross-Franchise Art Packs | Marvel Games | Marvel Seasonal | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Johnny Storm,3,2,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1,Fantastic Four | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Sue Storm,3,2,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1,Fantastic Four | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Super Skrull,3,2,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1,Fantastic Four | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Terrax,3,2,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1,Fantastic Four | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
Trapster,3,4,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1 | SP(SPIDER MAN)x1 | SX(SPIDEY & FRIENDS)x1,Fantastic Four | Marvel Universe | Marvel's Spidey and His Amazing Friends | Spider-Man,"Equally specific, equally frequent property codes: FFF, MU, SP",
Wizard,3,2,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1 | MU(MUPPETS)x1,Fantastic Four | Marvel Universe,"Equally specific, equally frequent property codes: FFF, MU",
General Zod,2,5,FS(THE FLASH)x1 | JG(JUSTICE LEAGUE)x1 | SM(SUPERMAN)x1,"Flash, The (2023) | Injustice: Gods Among Us: Video Game | Justice League Core | Scooby-Doo Core | Superman Core","Equally specific, equally frequent property codes: FS, SM",
Dean,2,2,GGS(GILMORE GIRLS)x1 | NE(NIGHTMARE ON ELM STREET)x1,"Gilmore Girls: Television Series | Nightmare on Elm Street, A (2010)","Equally specific, equally frequent property codes: GGS, NE",
Indigo,2,2,GN(GREEN LANTERN)x1 | SG(SUPERGIRL)x1,Green Lantern Core | Supergirl: Television Series (2015),"Equally specific, equally frequent property codes: GN, SG",
Mongul,2,3,GN(GREEN LANTERN)x1 | JG(JUSTICE LEAGUE)x1 | SM(SUPERMAN)x1,Green Lantern Core | Justice League Core | Superman Core,"Equally specific, equally frequent property codes: GN, SM",
Adam Warlock,3,2,GG(GUARDIANS OF THE GALAXY)x1 | MU(MUPPETS)x1,Guardians of the Galaxy | Marvel Universe,"Equally specific, equally frequent property codes: GG, MU",
Charlie-27,3,2,GG(GUARDIANS OF THE GALAXY)x1 | MU(MUPPETS)x1,Guardians of the Galaxy | Marvel Universe,"Equally specific, equally frequent property codes: GG, MU",
Nova Corps,3,2,GG(GUARDIANS OF THE GALAXY)x1 | MU(MUPPETS)x1,Guardians of the Galaxy | Marvel Universe,"Equally specific, equally frequent property codes: GG, MU",
Cedric,2,2,HP(HARRY POTTER)x1 | SG(SUPERGIRL)x1,Harry Potter and the Goblet of Fire (2005) | Supergirl (2026),"Equally specific, equally frequent property codes: HP, SG",
Pennywise,2,2,T9(IT CHAPTER TWO 2019)x1 | WD(WELCOME TO DERRY: TELEVISION SERIES)x1,IT Chapter Two (2019) | IT: Welcome to Derry: Television Series,"Equally specific, equally frequent property codes: T9, WD",
Maxwell Lord,2,4,JG(JUSTICE LEAGUE)x1 | SG(SUPERGIRL)x1 | SM(SUPERMAN)x1 | WW(WONDER WOMAN)x1,Justice League Core | Supergirl: Television Series (2015) | Superman (2025) | Wonder Woman 1984 (2020),"Equally specific, equally frequent property codes: SG, SM, WW",
Sam,2,2,LB(THE LOST BOYS)x1 | LT(LOONEY TUNES)x1,"Looney Tunes Core | Lost Boys, The (1987) ","Equally specific, equally frequent property codes: LB, LT",
Michael,2,2,LB(THE LOST BOYS)x1 | RK(RICK & MORTY)x1,"Lost Boys, The (1987)  | Rick and Morty: Animated Series","Equally specific, equally frequent property codes: LB, RK",
SP,3,3,MG(MARVEL RETRO GROUP)x1 | MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Comics (Retro) | Marvel Universe | Spider-Man Animated Movie 2022 ,"Equally specific, equally frequent property codes: MG, MU, SP",
