styleGuide,characterName,identityName,metadata
Avengers,Leader ( Avengers ),Leader,"{""source_character_name"":""Leader ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036010"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Loki ( Avengers ),Loki,"{""source_character_name"":""Loki ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518035268"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,M.O.D.O.K ( Avengers ),M.O.D.O.K,"{""source_character_name"":""M.O.D.O.K ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036011"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Makoto ( Avengers ),Makoto,"{""source_character_name"":""Makoto ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159151424"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Malekith ( Avengers ),Malekith,"{""source_character_name"":""Malekith ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036012"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Marvel Future Avengers Logo ( Avengers ),Marvel Future Avengers Logo,"{""source_character_name"":""Marvel Future Avengers Logo ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159151431"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Marvel Logo ( Avengers ),Marvel Logo,"{""source_character_name"":""Marvel Logo ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159151990"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Mech Strike Spider-Man ( Avengers ),Mech Strike Spider-Man,"{""source_character_name"":""Mech Strike Spider-Man ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159152500"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Mockingbird ( Avengers ),Mockingbird,"{""source_character_name"":""Mockingbird ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159151412"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Moon Knight ( Avengers ),Moon Knight,"{""source_character_name"":""Moon Knight ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159151420"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Nebula ( Avengers ),Nebula,"{""source_character_name"":""Nebula ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036013"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Nick Fury ( Avengers ),Nick Fury,"{""source_character_name"":""Nick Fury ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518033988"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Nighthawk ( Avengers ),Nighthawk,"{""source_character_name"":""Nighthawk ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036014"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Okoye ( Avengers ),Okoye,"{""source_character_name"":""Okoye ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159152504"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Power Princess Zarda ( Avengers ),Power Princess Zarda,"{""source_character_name"":""Power Princess Zarda ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036015"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,"Pym, Hank ( Avengers )",Hank Pym,"{""source_character_name"":""Pym, Hank ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""INVERT_SURNAME_FIRST"",""PRIMARY_ONLY""],""source_character_id"":""1159151415"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Quake ( Avengers ),Quake,"{""source_character_name"":""Quake ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159152505"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Quicksilver ( Avengers ),Quicksilver,"{""source_character_name"":""Quicksilver ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036016"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Quinjet ( Avengers ),Quinjet,"{""source_character_name"":""Quinjet ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518035269"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,"Rambeau, Monica ( Avengers )",Monica Rambeau,"{""source_character_name"":""Rambeau, Monica ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""INVERT_SURNAME_FIRST"",""PRIMARY_ONLY""],""source_character_id"":""1159151418"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Red Hulk ( Avengers ),Red Hulk,"{""source_character_name"":""Red Hulk ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036017"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Red She-Hulk ( Avengers ),Red She-Hulk,"{""source_character_name"":""Red She-Hulk ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159074776"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Red Skull ( Avengers ),Red Skull,"{""source_character_name"":""Red Skull ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518035270"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Redwing ( Avengers ),Redwing,"{""source_character_name"":""Redwing ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159152506"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,"Rogers, Steve ( Avengers )",Steve Rogers,"{""source_character_name"":""Rogers, Steve ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""INVERT_SURNAME_FIRST"",""PRIMARY_ONLY""],""source_character_id"":""1159152501"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,S.H.I.E.L.D. ( Avengers ),S.H.I.E.L.D.,"{""source_character_name"":""S.H.I.E.L.D. ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518033989"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Scarlet Witch ( Avengers ),Scarlet Witch,"{""source_character_name"":""Scarlet Witch ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036018"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,She-Hulk ( Avengers ),She-Hulk,"{""source_character_name"":""She-Hulk ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159074777"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Shuri ( Avengers ),Shuri,"{""source_character_name"":""Shuri ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159152502"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Skrull Soldier ( Avengers ),Skrull Soldier,"{""source_character_name"":""Skrull Soldier ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159152507"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Songbird ( Avengers ),Songbird,"{""source_character_name"":""Songbird ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159088241"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Spider Woman ( Avengers ),Spider Woman,"{""source_character_name"":""Spider Woman ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159152508"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Stark Industries ( Avengers ),Stark Industries,"{""source_character_name"":""Stark Industries ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159152509"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,"Stark, Tony ( Avengers )",Tony Stark,"{""source_character_name"":""Stark, Tony ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""INVERT_SURNAME_FIRST"",""PRIMARY_ONLY""],""source_character_id"":""518036019"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Super Adaptoid ( Avengers ),Super Adaptoid,"{""source_character_name"":""Super Adaptoid ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518035271"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,T`Challa ( Avengers ),T`Challa,"{""source_character_name"":""T`Challa ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159152503"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Task Master ( Avengers ),Task Master,"{""source_character_name"":""Task Master ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036020"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Thanos ( Avengers ),Thanos,"{""source_character_name"":""Thanos ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036021"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Thor ( Avengers ),Thor,"{""source_character_name"":""Thor ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518033990"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Tigra ( Avengers ),Tigra,"{""source_character_name"":""Tigra ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159152510"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Ultron ( Avengers ),Ultron,"{""source_character_name"":""Ultron ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518035771"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Veranke ( Avengers ),Veranke,"{""source_character_name"":""Veranke ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159152511"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Vision ( Avengers ),Vision,"{""source_character_name"":""Vision ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036022"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,"Voorhees, Klaus ( Avengers )",Klaus Voorhees,"{""source_character_name"":""Voorhees, Klaus ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""INVERT_SURNAME_FIRST"",""PRIMARY_ONLY""],""source_character_id"":""1159088242"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,War Machine ( Avengers ),War Machine,"{""source_character_name"":""War Machine ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036023"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Wasp ( Avengers ),Wasp,"{""source_character_name"":""Wasp ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036024"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Whiplash ( Avengers ),Whiplash,"{""source_character_name"":""Whiplash ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518035272"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Winter Soldier ( Avengers ),Winter Soldier,"{""source_character_name"":""Winter Soldier ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036025"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Wonder Man ( Avengers ),Wonder Man,"{""source_character_name"":""Wonder Man ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036026"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Wrecker ( Avengers ),Wrecker,"{""source_character_name"":""Wrecker ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036027"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Yellowjacket ( Avengers ),Yellowjacket,"{""source_character_name"":""Yellowjacket ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159146429"",""rendition"":{""guide_context"":""Avengers""}}"
Batman (1989) ,Alfred Pennyworth as portrayed by Michael Gough,Alfred Pennyworth,"{""source_character_name"":""Alfred Pennyworth as portrayed by Michael Gough"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""2b00add3-b81d-4f46-b5c3-d3999d79ae15"",""rendition"":{""portrayed_by"":""Michael Gough""},""rendition_description"":""as portrayed by Michael Gough""}"
Batman (1989) ,Batman/Bruce Wayne as portrayed by Michael Keaton,Batman aka Bruce Wayne,"{""source_character_name"":""Batman/Bruce Wayne as portrayed by Michael Keaton"",""identity_rules"":[""STRIP_PORTRAYAL"",""SPLIT_SLASH_ALIAS"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""02cfc510-6f4d-4bc7-b9e0-d5a1c3bd6579"",""rendition"":{""portrayed_by"":""Michael Keaton""},""rendition_description"":""as portrayed by Michael Keaton""}"
Batman (1989) ,Joker/Jack Napier as portrayed by Jack Nicholson,Joker,"{""source_character_name"":""Joker/Jack Napier as portrayed by Jack Nicholson"",""identity_rules"":[""STRIP_PORTRAYAL"",""SPLIT_SLASH_ALIAS"",""SPLIT_AKA"",""ALIAS_UNIQUE_MERGED""],""source_character_id"":""9c1b4976-b59e-44be-a63f-3cd3533e2e99"",""rendition"":{""portrayed_by"":""Jack Nicholson"",""alias"":""Jack Napier""},""rendition_description"":""as portrayed by Jack Nicholson · aka Jack Napier""}"
Batman (1989) ,Vicki Vale as portrayed by Kim Basinger,Vicki Vale,"{""source_character_name"":""Vicki Vale as portrayed by Kim Basinger"",""identity_rules"":[""STRIP_PORTRAYAL"",""PRIMARY_ONLY""],""source_character_id"":""3f418547-6319-4880-b71d-dfda7140901c"",""rendition"":{""portrayed_by"":""Kim Basinger""},""rendition_description"":""as portrayed by Kim Basinger""}"
Batman 85th Mash Ups,Batman aka Bruce Wayne (Batman Beyond 1999),Batman aka Bruce Wayne,"{""source_character_name"":""Batman aka Bruce Wayne (Batman Beyond 1999)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""e5c23d19-acb5-4f18-aac9-561faf4bc824"",""rendition"":{""title_year"":""Batman Beyond 1999""},""rendition_description"":""Batman Beyond 1999""}"
Batman 85th Mash Ups,Batman aka Bruce Wayne (Batman: The Animated Series 1992),Batman aka Bruce Wayne,"{""source_character_name"":""Batman aka Bruce Wayne (Batman: The Animated Series 1992)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""c99a1738-167e-4022-b9c5-695faa6d8dfd"",""rendition"":{""title_year"":""Batman: The Animated Series 1992""},""rendition_description"":""Batman: The Animated Series 1992""}"
Batman 85th Mash Ups,Batman aka Bruce Wayne (Non-Likeness) (Batman & Robin 1997),Batman aka Bruce Wayne,"{""source_character_name"":""Batman aka Bruce Wayne (Non-Likeness) (Batman & Robin 1997)"",""identity_rules"":[""STRIP_LIKENESS"",""STRIP_TITLE_YEAR"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""ee1a9dbc-e22b-4c00-b73c-5dcdb2f8da7b"",""rendition"":{""likeness_label"":""Non-Likeness"",""title_year"":""Batman & Robin 1997""},""rendition_description"":""Batman & Robin 1997 · non-likeness""}"
Batman 85th Mash Ups,Batman aka Bruce Wayne (Non-Likeness) (Batman 1989),Batman aka Bruce Wayne,"{""source_character_name"":""Batman aka Bruce Wayne (Non-Likeness) (Batman 1989)"",""identity_rules"":[""STRIP_LIKENESS"",""STRIP_TITLE_YEAR"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""b77b7a93-396d-4a84-bcfe-347b52dba71e"",""rendition"":{""likeness_label"":""Non-Likeness"",""title_year"":""Batman 1989""},""rendition_description"":""Batman 1989 · non-likeness""}"
Batman 85th Mash Ups,Batman aka Bruce Wayne (Non-Likeness) (Batman Begins 2005),Batman aka Bruce Wayne,"{""source_character_name"":""Batman aka Bruce Wayne (Non-Likeness) (Batman Begins 2005)"",""identity_rules"":[""STRIP_LIKENESS"",""STRIP_TITLE_YEAR"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""f57c2bc4-70d9-4d8e-b6b6-674b5dedeefb"",""rendition"":{""likeness_label"":""Non-Likeness"",""title_year"":""Batman Begins 2005""},""rendition_description"":""Batman Begins 2005 · non-likeness""}"
Batman 85th Mash Ups,Batman aka Bruce Wayne (Non-Likeness) (Batman Forever 1995),Batman aka Bruce Wayne,"{""source_character_name"":""Batman aka Bruce Wayne (Non-Likeness) (Batman Forever 1995)"",""identity_rules"":[""STRIP_LIKENESS"",""STRIP_TITLE_YEAR"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""93e8a98d-4e14-48bc-82de-48c6db88510c"",""rendition"":{""likeness_label"":""Non-Likeness"",""title_year"":""Batman Forever 1995""},""rendition_description"":""Batman Forever 1995 · non-likeness""}"
Batman 85th Mash Ups,Batman aka Bruce Wayne (Non-Likeness) (Batman Returns 1992),Batman aka Bruce Wayne,"{""source_character_name"":""Batman aka Bruce Wayne (Non-Likeness) (Batman Returns 1992)"",""identity_rules"":[""STRIP_LIKENESS"",""STRIP_TITLE_YEAR"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""38f64326-0e92-4b07-bc38-7441033ecbb4"",""rendition"":{""likeness_label"":""Non-Likeness"",""title_year"":""Batman Returns 1992""},""rendition_description"":""Batman Returns 1992 · non-likeness""}"
Batman 85th Mash Ups,Batman aka Bruce Wayne (Non-Likeness) (Batman vs Superman 2016),Batman aka Bruce Wayne,"{""source_character_name"":""Batman aka Bruce Wayne (Non-Likeness) (Batman vs Superman 2016)"",""identity_rules"":[""STRIP_LIKENESS"",""STRIP_TITLE_YEAR"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""905c6dfa-c7f4-4eaf-a4f9-b5213de5f236"",""rendition"":{""likeness_label"":""Non-Likeness"",""title_year"":""Batman vs Superman 2016""},""rendition_description"":""Batman vs Superman 2016 · non-likeness""}"
Batman 85th Mash Ups,Batman aka Bruce Wayne (Non-Likeness) (The Dark Knight 2008),Batman aka Bruce Wayne,"{""source_character_name"":""Batman aka Bruce Wayne (Non-Likeness) (The Dark Knight 2008)"",""identity_rules"":[""STRIP_LIKENESS"",""STRIP_TITLE_YEAR"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""d5cc76b6-e982-4a82-80d0-135e0f405826"",""rendition"":{""likeness_label"":""Non-Likeness"",""title_year"":""The Dark Knight 2008""},""rendition_description"":""The Dark Knight 2008 · non-likeness""}"
Batman 85th Mash Ups,Batman aka Bruce Wayne as portrayed by Ben Affleck (Batman vs Superman 2016),Batman aka Bruce Wayne,"{""source_character_name"":""Batman aka Bruce Wayne as portrayed by Ben Affleck (Batman vs Superman 2016)"",""identity_rules"":[""STRIP_PORTRAYAL"",""STRIP_TITLE_YEAR"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""a3455a97-a730-41da-ba83-00e41ee6f529"",""rendition"":{""portrayed_by"":""Ben Affleck"",""title_year"":""Batman vs Superman 2016""},""rendition_description"":""Batman vs Superman 2016 · as portrayed by Ben Affleck""}"
Batman 85th Mash Ups,Batman aka Bruce Wayne as portrayed by Christian Bale (Batman Begins 2005),Batman aka Bruce Wayne,"{""source_character_name"":""Batman aka Bruce Wayne as portrayed by Christian Bale (Batman Begins 2005)"",""identity_rules"":[""STRIP_PORTRAYAL"",""STRIP_TITLE_YEAR"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""057c0b0b-6aea-4099-ab58-ac816eceaecb"",""rendition"":{""portrayed_by"":""Christian Bale"",""title_year"":""Batman Begins 2005""},""rendition_description"":""Batman Begins 2005 · as portrayed by Christian Bale""}"
Batman 85th Mash Ups,Batman aka Bruce Wayne as portrayed by Christian Bale (Dark Knight Rises 2012),Batman aka Bruce Wayne,"{""source_character_name"":""Batman aka Bruce Wayne as portrayed by Christian Bale (Dark Knight Rises 2012)"",""identity_rules"":[""STRIP_PORTRAYAL"",""STRIP_TITLE_YEAR"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""8ddd3850-c41a-4a85-9df5-dfbfa2675a1e"",""rendition"":{""portrayed_by"":""Christian Bale"",""title_year"":""Dark Knight Rises 2012""},""rendition_description"":""Dark Knight Rises 2012 · as portrayed by Christian Bale""}"
Batman 85th Mash Ups,Batman aka Bruce Wayne as portrayed by Christian Bale (The Dark Knight 2008),Batman aka Bruce Wayne,"{""source_character_name"":""Batman aka Bruce Wayne as portrayed by Christian Bale (The Dark Knight 2008)"",""identity_rules"":[""STRIP_PORTRAYAL"",""STRIP_TITLE_YEAR"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""d4864169-57a5-40e2-b1f8-27ffb59774dc"",""rendition"":{""portrayed_by"":""Christian Bale"",""title_year"":""The Dark Knight 2008""},""rendition_description"":""The Dark Knight 2008 · as portrayed by Christian Bale""}"
Batman 85th Mash Ups,Batman aka Bruce Wayne as portrayed by George Clooney (Batman & Robin 1997),Batman aka Bruce Wayne,"{""source_character_name"":""Batman aka Bruce Wayne as portrayed by George Clooney (Batman & Robin 1997)"",""identity_rules"":[""STRIP_PORTRAYAL"",""STRIP_TITLE_YEAR"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""4098ca6f-de99-4acc-844b-3201b0e234d5"",""rendition"":{""portrayed_by"":""George Clooney"",""title_year"":""Batman & Robin 1997""},""rendition_description"":""Batman & Robin 1997 · as portrayed by George Clooney""}"
Batman 85th Mash Ups,Batman aka Bruce Wayne as portrayed by Michael Keaton (Batman 1989),Batman aka Bruce Wayne,"{""source_character_name"":""Batman aka Bruce Wayne as portrayed by Michael Keaton (Batman 1989)"",""identity_rules"":[""STRIP_PORTRAYAL"",""STRIP_TITLE_YEAR"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""2791c974-9af5-4d3e-98de-452c4ba6dadd"",""rendition"":{""portrayed_by"":""Michael Keaton"",""title_year"":""Batman 1989""},""rendition_description"":""Batman 1989 · as portrayed by Michael Keaton""}"
Batman 85th Mash Ups,Batman aka Bruce Wayne as portrayed by Michael keaton (Batman Returns 1992),Batman aka Bruce Wayne,"{""source_character_name"":""Batman aka Bruce Wayne as portrayed by Michael keaton (Batman Returns 1992)"",""identity_rules"":[""STRIP_PORTRAYAL"",""STRIP_TITLE_YEAR"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""a4ff92a5-86d8-4b3b-b26d-2b08b773f182"",""rendition"":{""portrayed_by"":""Michael keaton"",""title_year"":""Batman Returns 1992""},""rendition_description"":""Batman Returns 1992 · as portrayed by Michael keaton""}"
Batman 85th Mash Ups,Batman aka Bruce Wayne as portrayed by Val Kilmer (Batman Forever 1995),Batman aka Bruce Wayne,"{""source_character_name"":""Batman aka Bruce Wayne as portrayed by Val Kilmer (Batman Forever 1995)"",""identity_rules"":[""STRIP_PORTRAYAL"",""STRIP_TITLE_YEAR"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""45f6ba8c-ce83-4099-b309-16baa64a9f3e"",""rendition"":{""portrayed_by"":""Val Kilmer"",""title_year"":""Batman Forever 1995""},""rendition_description"":""Batman Forever 1995 · as portrayed by Val Kilmer""}"
Batman 85th Mash Ups,Batman aka Bruce Wayne(Non-Likeness) (Dark Knight Rises 2012),Batman aka Bruce Wayne,"{""source_character_name"":""Batman aka Bruce Wayne(Non-Likeness) (Dark Knight Rises 2012)"",""identity_rules"":[""STRIP_LIKENESS"",""STRIP_TITLE_YEAR"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""1c162d97-a15f-47bd-a999-9b6b708e5fda"",""rendition"":{""likeness_label"":""Non-Likeness"",""title_year"":""Dark Knight Rises 2012""},""rendition_description"":""Dark Knight Rises 2012 · non-likeness""}"
Batman 85th Mash Ups,Batman aka Terry McGinnis (Batman Beyond 1999),Batman aka Terry McGinnis,"{""source_character_name"":""Batman aka Terry McGinnis (Batman Beyond 1999)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""SPLIT_AKA"",""ALIAS_DISAMBIGUATED""],""source_character_id"":""dea628bc-b9e3-4067-bd48-3e9516859110"",""rendition"":{""title_year"":""Batman Beyond 1999""},""rendition_description"":""Batman Beyond 1999""}"
Batman 85th Mash Ups,Batmobile (Batman & Robin 1997),BATMOBILE,"{""source_character_name"":""Batmobile (Batman & Robin 1997)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""7340aa37-2751-4090-a33e-f619a7a20cc2"",""rendition"":{""title_year"":""Batman & Robin 1997""},""rendition_description"":""Batman & Robin 1997""}"
Batman 85th Mash Ups,Batmobile (Batman 1989),BATMOBILE,"{""source_character_name"":""Batmobile (Batman 1989)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""ceeadb4c-7529-4051-ba66-17df5bbf496e"",""rendition"":{""title_year"":""Batman 1989""},""rendition_description"":""Batman 1989""}"
Batman 85th Mash Ups,Batmobile (Batman Begins 2005),BATMOBILE,"{""source_character_name"":""Batmobile (Batman Begins 2005)"",""identity_rules"":[""STRIP_TITLE_YEAR"",""PRIMARY_ONLY""],""source_character_id"":""7e6ad52f-56a4-4fa4-a10e-a8b9aec43ce3"",""rendition"":{""title_year"":""Batman Begins 2005""},""rendition_description"":""Batman Begins 2005""}"
