licenselist_code,universe_b_id,universe_b_name,universe_b_source_key,portal,portal_label,portal_source_id
NU,10284,"FAST FRANCHISE ASSET",54cbb0b0-4d0e-45fe-b2c1-e84f41448b72,NBCU Creative Asset Factory,"FAST FRANCHISE ASSET",3459
NU,10285,"FAST TIMES AT RIDGEMONT HIGH",6e89d0bb-95ba-4ab4-b687-53d032d55a0a,NBCU Creative Asset Factory,"FAST TIMES AT RIDGEMONT HIGH",1075
NU,10286,"FELIX THE CAT",b636da4e-d300-4771-9975-7985dc1f6d21,NBCU Creative Asset Factory,"Felix the Cat",3666
NU,10287,"FIELD OF DREAMS",64613eb1-de1b-4fdb-95f4-f81f606951c2,NBCU Creative Asset Factory,"FIELD OF DREAMS",1216
NU,10288,"FURIOUS 7",9c0f8db3-c160-4273-8efd-cb84cec3f477,NBCU Creative Asset Factory,"FURIOUS 7",2590
NU,10290,"GABBY'S DOLLHOUSE",02de1078-8453-4ea2-b3fb-efc8d09325df,NBCU Creative Asset Factory,"GABBY'S DOLLHOUSE",4818
NU,10289,"GABBY'S DOLLHOUSE: THE MOVIE",12e4de82-1f23-4b57-84f5-7fa3196c4163,NBCU Creative Asset Factory,"GABBY'S DOLLHOUSE: THE MOVIE",7006
NU,10291,"GOOD LUCK TROLLS (CLASSIC) - LITERARY",f6fa5fcc-4241-4ccd-88f7-2b3ceca661aa,NBCU Creative Asset Factory,"GOOD LUCK TROLLS  (CLASSIC)  - LITERARY",3771
NU,10292,"HALF BAKED",4ffa4ff1-2125-441c-86a0-aa7dd1e5d07c,NBCU Creative Asset Factory,"HALF BAKED",2115
NU,10293,"HALLOWEEN II",19f886e3-9297-43bc-9b61-8c81540dab85,NBCU Creative Asset Factory,"HALLOWEEN II",1829
NU,10294,"HAPPY GILMORE",1046e5e7-7eb1-496d-b1af-6ab63497ea5f,NBCU Creative Asset Factory,"HAPPY GILMORE",1251
NU,10295,"HOME FOR A BUNNY (1956 LITTLE GOLDEN BOOK)",aaf5c60f-ab37-4fcd-b62b-8ba863f37946,NBCU Creative Asset Factory,"HOME FOR A BUNNY  (1956 LITTLE GOLDEN BOOK)",3783
NU,10296,"HOT STUFF, THE LITTLE DEVIL - LITERARY",c59e0cfb-5943-4e42-b1c3-4c26f6251daf,NBCU Creative Asset Factory,"HOT STUFF, THE LITTLE DEVIL  - LITERARY",3766
NU,10297,"HOW HIGH",ee178b67-1a72-4c0a-b9e6-a6c3861fcfae,NBCU Creative Asset Factory,"HOW HIGH",2240
NU,10298,"HOW TO TRAIN YOUR DRAGON",87009436-355d-4c48-a2ca-9915e2524237,NBCU Creative Asset Factory,"How to Train Your Dragon",3422
NU,10299,"HOW TO TRAIN YOUR DRAGON (LIVE)",dcf2fc50-4992-4856-8e59-ceaf6d7a65aa,NBCU Creative Asset Factory,"HOW TO TRAIN YOUR DRAGON (LIVE)",6607
NU,10300,"HOW TO TRAIN YOUR DRAGON 2",641b70d9-6914-456f-8041-2792b3a79ebd,NBCU Creative Asset Factory,"HOW TO TRAIN YOUR DRAGON 2",3428
NU,10301,"HOW TO TRAIN YOUR DRAGON: THE HIDDEN WORLD",4353f0b9-c2a7-4c4d-b42b-81696935eaac,NBCU Creative Asset Factory,"HOW TO TRAIN YOUR DRAGON: THE HIDDEN WORLD",3606
NU,10302,"JAWS",8abc7fdd-e3c3-4731-a05f-2ff3102176d4,NBCU Creative Asset Factory,"JAWS",1217
NU,10303,"JAWS 2",a26335ce-2974-4844-a5e2-a5c7e0a78afb,NBCU Creative Asset Factory,"JAWS 2",1417
NU,10304,"JAWS 3",9fe9f3e9-35e4-43a2-aa85-5218fe38d0d2,NBCU Creative Asset Factory,"JAWS 3",1073
NU,10305,"JAWS: THE REVENGE",c5c3b80e-96db-4236-8bb4-5ccbe779c638,NBCU Creative Asset Factory,"JAWS: THE REVENGE",1129
NU,10306,"JURASSIC PARK",763bb0ea-cd5e-4de9-958c-e15b684106cb,NBCU Creative Asset Factory,"JURASSIC PARK",1038
NU,10307,"JURASSIC PARK FRANCHISE ASSET",09f82725-8566-4395-af25-2d68151d4ea5,NBCU Creative Asset Factory,"JURASSIC PARK FRANCHISE ASSET",3460
NU,10308,"JURASSIC PARK III",ac9efac9-0b24-4812-9bbb-25854a98c2ff,NBCU Creative Asset Factory,"JURASSIC PARK III",1332
NU,10309,"JURASSIC WORLD",435f2523-fefb-49c4-b0fd-ab6f3baa2b2c,NBCU Creative Asset Factory,"JURASSIC WORLD",1837
NU,10310,"JURASSIC WORLD REBIRTH",12162893-0a1e-4e32-a3cb-0214e1ba0c61,NBCU Creative Asset Factory,"JURASSIC WORLD REBIRTH",6946
NU,10311,"JURASSIC WORLD: DOMINION",73aa53f3-1ffd-45d1-833e-9541580535e6,NBCU Creative Asset Factory,"JURASSIC WORLD: DOMINION",4747
NU,10312,"JURASSIC WORLD: FALLEN KINGDOM",f48a0986-a689-4440-a087-ea7fbc6520b5,NBCU Creative Asset Factory,"JURASSIC WORLD: FALLEN KINGDOM",3174
