"id","status","started_at","finished_at","rows_seen","rows_inserted","rows_updated","rows_failed","error","metadata"
"91f48764-47b9-4f80-8e5f-108eb3658828","failed","""2026-07-24T23:36:12.115Z""","""2026-07-24T23:36:12.115Z""","0","0","0","0","http://x5.coldlion.com/EhpApi/merchGroupHeaders?companyCode=EDGEHOME&divisionCode=CW001&size=200&page=0 returned HTTP 400","{""stage"":""fetch"",""promotion"":""not-promoted"",""recorded_by"":""coldlion host wrapper""}"
"a7eb9c1b-3868-46bc-8d9a-615c0b8c98e4","succeeded","""2026-07-24T23:37:33.529Z""","""2026-07-24T23:37:33.529Z""","560","560","0","0",,"{""mode"":""mirror_only"",""phase"":""2A"",""stage"":""succeeded"",""prior_run"":null,""company_code"":""EDGEHOME"",""rows_updated"":0,""licensor_rows"":44,""property_rows"":516,""rows_inserted"":560,""snapshot_hash"":""a69332e05d9064723ffa1dfbd870506c"",""endpoint_group"":""merchGroupHeaders+merchGroupDetails"",""licensor_floor"":5,""property_floor"":20,""rows_unchanged"":0,""header_divisions"":[""CW001"",""SP001"",""EH001"",""EP001""],""licensor_updated"":0,""property_updated"":0,""divisions_fetched"":[""CW001"",""SP001""],""licensor_inserted"":44,""property_inserted"":516,""licensor_unchanged"":0,""property_unchanged"":0,""required_divisions"":[""CW001"",""SP001""],""cross_entity_collisions"":30,""count_drop_threshold_pct"":50}"
"8a18acf5-0ce6-4be1-a522-85ba5478be43","succeeded","""2026-07-24T23:38:02.657Z""","""2026-07-24T23:38:02.657Z""","560","0","0","0",,"{""mode"":""mirror_only"",""phase"":""2A"",""stage"":""succeeded"",""prior_run"":null,""company_code"":""EDGEHOME"",""rows_updated"":0,""licensor_rows"":44,""property_rows"":516,""rows_inserted"":0,""snapshot_hash"":""a69332e05d9064723ffa1dfbd870506c"",""endpoint_group"":""merchGroupHeaders+merchGroupDetails"",""licensor_floor"":5,""property_floor"":20,""rows_unchanged"":560,""header_divisions"":[""CW001"",""SP001"",""EH001"",""EP001""],""licensor_updated"":0,""property_updated"":0,""divisions_fetched"":[""CW001"",""SP001""],""licensor_inserted"":0,""property_inserted"":0,""licensor_unchanged"":44,""property_unchanged"":516,""required_divisions"":[""CW001"",""SP001""],""cross_entity_collisions"":30,""count_drop_threshold_pct"":50}"
