licensor,legacy_property,legacy_external_id,character_rows,core_property_code,core_property_name,match_method
"Marvel","Marvel Universe","3050","1041","","","unmatched"
"Marvel","Marvel Comics (Retro)","1030","911","","","unmatched"
"WWE","WWE Superstars, Divas, Legends & Logos","5100","604","","","unmatched"
"Warner Bros","Justice League Core","7127","431","","","unmatched"
"Warner Bros","Looney Tunes Core","6135","273","","","unmatched"
"Marvel","Marvel Cross-Franchise Art Packs","1942","271","","","unmatched"
"Disney","MS Disney Plus TV Shows - No Likeness","812","179","","","unmatched"
"Marvel","Marvel Games","2214","175","","","unmatched"
"Marvel","X-Men Classic","4932","167","","","unmatched"
"Warner Bros","Batman Core","5933","160","","","unmatched"
"Warner Bros","Game of Thrones: Television Series","9522","160","","","unmatched"
"Marvel","Marvel Studios: The Infinity Saga - No Likeness","2818","142","","","unmatched"
"Marvel","Marvel Studios Collection - No Likeness","2482","126","","","unmatched"
"Warner Bros","Superman Core","6553","115","","","unmatched"
"Warner Bros","Rick and Morty: Animated Series","9407","112","","","unmatched"
"Marvel","Avengers","14","103","","","unmatched"
"Warner Bros","Adventure Time: Animated Series","9309","97","","","unmatched"
"Marvel","Marvel Seasonal","2390","91","","","unmatched"
"Warner Bros","Harry Potter and the Order of the Phoenix (2007)","7855","89","","","unmatched"
"Marvel","Marvel Studios: The Infinity Saga - With Likeness","2961","88","","","unmatched"
"Warner Bros","Harry Potter and the Goblet of Fire (2005)","7689","87","","","unmatched"
"Warner Bros","WB 100: Looney Tunes Mashups","9843","70","","","unmatched"
"Warner Bros","DC Super Hero Girls: Animated Series","8899","68","","","unmatched"
"Warner Bros","Harry Potter and the Sorcerer`s Stone (2001)","6921","67","","","unmatched"
"Warner Bros","Harry Potter and the Chamber of Secrets (2002)","6989","66","","","unmatched"
"Warner Bros","Harry Potter and the Prisoner of Azkaban (2004)","7624","64","","","unmatched"
"Warner Bros","Harry Potter Literary Collection","7559","64","","","unmatched"
"Disney","Tsum Tsum","4832","63","","","unmatched"
