property,licensedPropertyID,optionSourceID,character,characterID,brandPropertyID
"Black Panther Movie - With Likeness","1070","1007","Black Panther Movie - With Likeness","518035503","518035499"
"Black Panther Movie - With Likeness","1070","1007","DragonFlyer ( Black Panther Movie )","1159076923","518035499"
"Black Panther Movie - With Likeness","1070","1007","Killmonger, Erik ( Black Panther Movie )","1159076924","518035499"
"Black Panther Movie - With Likeness","1070","1007","Klaue, Ulysses ( Black Panther Movie )","1159076920","518035499"
"Black Panther Movie - With Likeness","1070","1007","M`Baku ( Black Panther Movie )","1159076921","518035499"
"Black Panther Movie - With Likeness","1070","1007","Nakia ( Black Panther Movie )","1159076925","518035499"
"Black Panther Movie - With Likeness","1070","1007","Okoye ( Black Panther Movie )","1159076922","518035499"
"Black Panther Movie - With Likeness","1070","1007","Ross, Everett ( Black Panther Movie )","1159076926","518035499"
"Black Panther Movie - With Likeness","1070","1007","Royal Talon Fighter ( Black Panther Movie )","1159076927","518035499"
"Black Panther Movie - With Likeness","1070","1007","Shuri ( Black Panther Movie )","1159076928","518035499"
"Black Panther Movie - With Likeness","1070","1007","T`Chaka ( Black Panther Movie )","1159076929","518035499"
"Black Panther Movie - With Likeness","1070","1007","T`Challa ( Black Panther Movie )","1159076930","518035499"
"Black Panther Movie - With Likeness","1070","1007","Wakabi ( Black Panther Movie )","1159077231","518035499"
"Black Panther Movie - With Likeness","1070","1007","Zuri ( Black Panther Movie )","1159077232","518035499"
"Black Panther Movie 2 - No Likeness","1159103669","1007","Aneka ( Marvels Black Panther Movie 2 )","1159365400","1159103730"
"Black Panther Movie 2 - No Likeness","1159103669","1007","Attuma ( Marvels Black Panther Movie 2 )","1159365401","1159103730"
"Black Panther Movie 2 - No Likeness","1159103669","1007","Ayo ( Marvels Black Panther Movie 2 )","1159369321","1159103730"
"Black Panther Movie 2 - No Likeness","1159103669","1007","Black Panther ( Black Panther Movie 2 )","1159107950","1159103730"
"Black Panther Movie 2 - No Likeness","1159103669","1007","Black Panther Legacy Collection (Gen) ( Marvels Black Panther Movie 2 )","1159369322","1159103730"
"Black Panther Movie 2 - No Likeness","1159103669","1007","Black Panther Movie 2 - No Likeness","1159103969","1159103730"
"Black Panther Movie 2 - No Likeness","1159103669","1007","Ironheart ( Marvels Black Panther Movie 2 )","1159365370","1159103730"
"Black Panther Movie 2 - No Likeness","1159103669","1007","Killmonger, Erik ( Marvels Black Panther Movie 2 )","1159369323","1159103730"
"Black Panther Movie 2 - No Likeness","1159103669","1007","M`Baku ( Black Panther Movie 2 )","1159152001","1159103730"
"Black Panther Movie 2 - No Likeness","1159103669","1007","Marvel Logo ( Marvels Black Panther Movie 2 )","1159365371","1159103730"
"Black Panther Movie 2 - No Likeness","1159103669","1007","Marvel Studios` Legacy Collection Logo ( Marvels Black Panther Movie 2 )","1159369324","1159103730"
"Black Panther Movie 2 - No Likeness","1159103669","1007","Marvels Black Panther Movie 2","1159369327","1159103730"
"Black Panther Movie 2 - No Likeness","1159103669","1007","Marvels Black Panther Movie 2 (General) ( Marvels Black Panther Movie 2 )","1159369325","1159103730"
"Black Panther Movie 2 - No Likeness","1159103669","1007","Nakia ( Black Panther Movie 2 )","1159152000","1159103730"
"Black Panther Movie 2 - No Likeness","1159103669","1007","Namor ( Marvels Black Panther Movie 2 )","1159365402","1159103730"
"Black Panther Movie 2 - No Likeness","1159103669","1007","Namora ( Marvels Black Panther Movie 2 )","1159365372","1159103730"
