"entity_type","composite_key","mg_code","source_name","canonical_id","canonical_code","canonical_name","match_evidence","status"
"property","EDGEHOME/SP001/06/JR","JR","JURASSIC WORLD/JURASSIC PARK","d99503fb-53e7-4d2c-8866-13d5be94bd56","JR","JURASSIC WORLD/JURASSIC PARK","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/JW","JW","JAWS","8f723630-2d55-4a46-a9bd-abaa91d70d40","JW","JAWS","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/KP","KP","KUNG-FU PANDA","5419699d-6dcf-4ed2-b1df-cf2f68591836","KP","KUNG-FU PANDA","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/LK","LK","LOKI","9d46e3a0-719f-42e2-8cd2-73bdd198416c","LK","LOKI","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/LR","LR","LORD OF THE RINGS","abf71e62-7598-4b34-b07f-364eea7cac07","LR","LORD OF THE RINGS","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/LS","LS","LILO AND STITCH","2a83c3d9-794d-41cc-8467-f53a27ddb625","LS","LILO AND STITCH","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/LSL","LSL","LILO AND STITCH LIVE ACTION 2025","46be5003-d83b-4bec-9143-ee9632f1b688","LSL","LILO AND STITCH LIVE ACTION 2025","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/LT","LT","LOONEY TUNES","b2bf31a7-f69a-46c8-8819-eda0605dc07a","LT","LOONEY TUNES","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/MA","MA","MICHAELANGELO","4e5fabba-5a1a-42a4-b997-dc7aa0a5ab35","MA","MICHAELANGELO","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/MB","MB","MORTAL KOMBAT","c0873079-36a4-4ab1-9aa0-1e8bedc6b274","MB","MORTAL KOMBAT","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/MC","MC","MIRACULOUS","fab870e2-04d7-4bd1-8902-ea4ced286192","MC","MIRACULOUS","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/MCG","MCG","LIZZIE MCGUIRE","34b067a7-dbce-4320-bebe-3c28ff012932","MCG","LIZZIE MCGUIRE","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/MD","MD","THE MANDALORIAN","d7638191-2b1f-4660-84cc-5838b3cf6778","MD","THE MANDALORIAN","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/MF","MF","MILLENIUM FALCON","1250fa66-f332-4b24-aca7-11e34d6d4d5d","MF","MILLENIUM FALCON","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/MG","MG","MARVEL RETRO GROUP","bafff40f-dfaa-43de-a5d9-8a002cf89464","MG","MARVEL RETRO GROUP","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/MK","MK","MOON KNIGHT","caa4cb55-d15b-4258-9c1a-257b0204f4d7","MK","MOON KNIGHT","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/MM","MM","MICKEY MOUSE","4bb52946-0d48-494a-a038-1b4d9293e8c1","MM","MICKEY MOUSE","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/MN","MN","MINIONS","eb50f543-5d10-4cc5-bb7e-824b8ad212b5","MN","MINIONS","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/MP","MP","MIXED PROPERTIES (DISNEY CLASSICS)","491b1a3d-a303-4918-9a77-c1e0e2b1b175","MP","MIXED PROPERTIES (DISNEY CLASSICS)","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/MR","MR","MARSHALL","023444ef-0b2a-49b1-a94a-2cda4c3dd2ce","MR","MARSHALL","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/MS","MS","MONSTERS","c2add690-3f96-4649-adea-556f19f0a8df","MS","MONSTERS","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/MU","MU","MUPPETS","53f35a43-3719-411a-a818-1c0ef31726f5","MU","MUPPETS","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/MV","MV","MARVEL ASSORTED STYLES","ba64e119-517e-41c2-9679-650e62ca4287","MV","MARVEL ASSORTED STYLES","code and normalized name agree","proposed_pending_human_approval"
