canonical_name,codes_and_locations,DECISION_status,DECISION_one_vendor_YN,notes
ABF FREIGHT SYSTEM INC,"205 - ABF FREIGHT SYSTEM INC [Miami, FL] (inactive) | 206 - ABF FREIGHT SYSTEM INC [Laredo, TX] (inactive)",,,
Action Printing,"AP - Action Printing [Fond do LAC, WI] (inactive) | USACT - Action Printing [Fond do LAC, WI] (inactive)",,,
ANTHONY'S WAREHOUSE & DISTRIBUTION,"458 - ANTHONY'S WAREHOUSE & DISTRIBUTION [Compton, CA] (inactive) | ANT001 - ANTHONY'S WAREHOUSE & DISTRIBUTION [Compton, CA] (active)",,,
DIGITAL PHOTOGRAPHIC,"16 - DIGITAL PHOTOGRAPHIC [New York, NY] (inactive) | 207 - DIGITAL PHOTOGRAPHIC [Brooklyn, NY] (inactive)",,,
"MIRAE N CULTURE GROUP CO.,LTD","147 - MIRAE N CULTURE GROUP CO.,LTD (inactive) | SKSMB - Mirae N Culture Group Co.,Ltd [Seongnam] (active)",,,
WALMART,"369 - WALMART [Bentonville, AR] (inactive) | 459 - WALMART [TORONTO, QB] (inactive)",,,
XIANJU SHAOFENG ARTS & CRAFTS FACTORY,457 - XIANJU SHAOFENG ARTS & CRAFTS FACTORY (inactive) | CNSHAO - XIANJU SHAOFENG ARTS & CRAFTS FACTORY [XIANJU] (active),,,
XIANJU YINTAI GIFTS FACTORY,472 - XIANJU YINTAI GIFTS FACTORY [ZHENJIANG] (inactive) | CNXJY - Xianju Yintai Gifts Factory (active),,,
