our_name,coldlion_candidates,DECISION_status,DECISION_merge_into,notes
Bill,171 - GATEWAY- BILLING similarity=0.24 (inactive) | 359 - BDB similarity=0.12 (inactive) | 39 - BENSON MILLS similarity=0.12 (inactive),PURGE,,Garbage - Directus test data (first name); exclude from core.factory (Albert 2026-07-20)
Chloe,"373 - CHLOE CHANG [Brooklyn, NY] similarity=0.60 (inactive) | 447 - SIYUAN CHANG similarity=0.12 (inactive) | CHI - CHINA NATIONAL similarity=0.11 (inactive)",PURGE,,Garbage - Directus test data (first name); exclude from core.factory (Albert 2026-07-20)
Jerome,"430 - STATE OF NEW JERSEY [Trenton, NJ] similarity=0.12 (inactive) | 367 - JENNIFER NG [Brooklyn, NY] similarity=0.12 (inactive) | 56 - STATE OF NEW JERSEY - PART [Trenton, NJ] similarity=0.10 (inactive)",PURGE,,Garbage - Directus test data (first name); exclude from core.factory (Albert 2026-07-20)
Lucy,"210 - LUCKY CENTURY CO LTD similarity=0.14 (inactive) | 377 - LUXCANY TRANSPORT INC. [Long Beach, CA] similarity=0.08 (inactive) | 148 - LANGTON LTD. similarity=0.07 (inactive)",PURGE,,Garbage - Directus test data (first name); exclude from core.factory (Albert 2026-07-20)
Tom,"246 - TOYS R US [Wayne, NJ] similarity=0.17 (inactive) | 253 - TOTAL SALES [Boca Raton, FL] similarity=0.14 (inactive) | 276 - TRILLIUM CUSTOM BROKERS [MISSISSAUGA, ON] similarity=0.12 (inactive)",PURGE,,Garbage - Directus test data (first name); exclude from core.factory (Albert 2026-07-20)
Wendy Sunway,"476 - XIANJU SUNWAY ARTWARE CO. LTD [XIANJU, ZH] similarity=0.20 (inactive) | CNDWG - XIANJU SUNWAY ARTWARE CO., LTD similarity=0.20 (active) | CNHUS - XIANJU SUNWAY ARTWARE CO.,LTD. similarity=0.20 (active)",PURGE,,Garbage - Directus test data (first name); exclude from core.factory (Albert 2026-07-20)
