observation_key,licensor_resolution,resolved_licensor_id,resolved_licensor_name,normalized_observed_value,active_file_count,proposal_order,proposed_disposition,target_property_id,target_property_code,target_property_name,target_property_parent_licensor_id,rationale_code,create_candidate_code,create_candidate_name,classification_automatic,owner_activation_required,coldlion_phase5_overlap,coldlion_phase5_divisions,proposed_parent_evidence,current_accepted_relationship_count,currently_tagged_at_risk,cross_parent_proposal,fuzzy_similarity_used_for_selection,proposal_effective
154bf54b-6f7d-4999-b0fb-c2828b12b56a|the exorcist,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,the exorcist,93,7,canonical_create_candidate,,,,,exact_coldlion_phase5_candidate_with_resolved_popsg_parent_observation,EX,THE EXORCIST,false,true,true,CW001|SP001,resolved PopSG Licensor observation only; ColdLion supplies no parent; owner approval required,0,false,false,false,false
5f951f5e-aaee-4add-bb51-fea888951405|cheers,resolved,5f951f5e-aaee-4add-bb51-fea888951405,VIACOM MULTI,cheers,200,7,canonical_create_candidate,,,,,exact_coldlion_phase5_candidate_with_resolved_popsg_parent_observation,CHR,CHEERS,false,true,true,CW001|SP001,resolved PopSG Licensor observation only; ColdLion supplies no parent; owner approval required,0,false,false,false,false
