observation_key,licensor_resolution,resolved_licensor_id,resolved_licensor_name,normalized_observed_value,active_file_count,proposal_order,proposed_disposition,target_property_id,target_property_code,target_property_name,target_property_parent_licensor_id,rationale_code,create_candidate_code,create_candidate_name,classification_automatic,owner_activation_required,coldlion_phase5_overlap,coldlion_phase5_divisions,proposed_parent_evidence,current_accepted_relationship_count,currently_tagged_at_risk,cross_parent_proposal,fuzzy_similarity_used_for_selection,proposal_effective
c70e095c-2baf-404e-a2a3-c198a259a3e6|coca cola packaging one sheet 2023 update folder,resolved,c70e095c-2baf-404e-a2a3-c198a259a3e6,COCA COLA,coca cola packaging one sheet 2023 update folder,9,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,0,false,false,false,false
c70e095c-2baf-404e-a2a3-c198a259a3e6|graphics varsity style guide,resolved,c70e095c-2baf-404e-a2a3-c198a259a3e6,COCA COLA,graphics varsity style guide,20,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,0,false,false,false,false
c70e095c-2baf-404e-a2a3-c198a259a3e6|style guide pdfs,resolved,c70e095c-2baf-404e-a2a3-c198a259a3e6,COCA COLA,style guide pdfs,24,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,2,false,false,false,false
dd9d7be2-6f77-4183-8e41-3e57a7a20f8b|[blank],resolved,dd9d7be2-6f77-4183-8e41-3e57a7a20f8b,NASA,,98,5,non_property,,,,,blank_property_observation,,,false,true,false,,,0,false,false,false,false
dd9d7be2-6f77-4183-8e41-3e57a7a20f8b|style guide pdf,resolved,dd9d7be2-6f77-4183-8e41-3e57a7a20f8b,NASA,style guide pdf,1,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,0,false,false,false,false
e90c3124-e66d-404f-b777-0dae9a5ee4f3|[blank],resolved,e90c3124-e66d-404f-b777-0dae9a5ee4f3,AARDMAN ANIMATIONS,,1,5,non_property,,,,,blank_property_observation,,,false,true,false,,,0,false,false,false,false
f143c083-2dfd-48b9-ac9b-43d2290a4e4c|marvel universe publishing art archive,resolved,f143c083-2dfd-48b9-ac9b-43d2290a4e4c,MARVEL,marvel universe publishing art archive,2048,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,721,false,false,false,false
f143c083-2dfd-48b9-ac9b-43d2290a4e4c|style guide case by case,resolved,f143c083-2dfd-48b9-ac9b-43d2290a4e4c,MARVEL,style guide case by case,1014,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,9,false,false,false,false
f143c083-2dfd-48b9-ac9b-43d2290a4e4c|style guide evergreen priorities,resolved,f143c083-2dfd-48b9-ac9b-43d2290a4e4c,MARVEL,style guide evergreen priorities,2015,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,1386,false,false,false,false
f143c083-2dfd-48b9-ac9b-43d2290a4e4c|style guide opportunity,resolved,f143c083-2dfd-48b9-ac9b-43d2290a4e4c,MARVEL,style guide opportunity,5327,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,3091,false,false,false,false
f39fe07e-e438-46b2-9e17-fb711358e790|[blank],resolved,f39fe07e-e438-46b2-9e17-fb711358e790,TOEI - ONE PIECE,,6,5,non_property,,,,,blank_property_observation,,,false,true,false,,,0,false,false,false,false
f39fe07e-e438-46b2-9e17-fb711358e790|style guide,resolved,f39fe07e-e438-46b2-9e17-fb711358e790,TOEI - ONE PIECE,style guide,8370,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,2471,false,false,false,false
