observation_key,licensor_resolution,resolved_licensor_id,resolved_licensor_name,normalized_observed_value,active_file_count,proposal_order,proposed_disposition,target_property_id,target_property_code,target_property_name,target_property_parent_licensor_id,rationale_code,create_candidate_code,create_candidate_name,classification_automatic,owner_activation_required,coldlion_phase5_overlap,coldlion_phase5_divisions,proposed_parent_evidence,current_accepted_relationship_count,currently_tagged_at_risk,cross_parent_proposal,fuzzy_similarity_used_for_selection,proposal_effective
154bf54b-6f7d-4999-b0fb-c2828b12b56a|big lebowski,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,big lebowski,155,1,exact_existing,8140b36b-82d2-4289-b56f-d2cdfbcd1905,BK,BIG LEBOWSKI,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,155,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|chucky,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,chucky,281,1,exact_existing,41fef4a7-4cd8-43ab-949f-fb19747fd328,CK,CHUCKY,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,595,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|curious george,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,curious george,831,1,exact_existing,6bb79348-9704-4fba-94e5-48bdef01c3ad,CG,CURIOUS GEORGE,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,888,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|dazed and confused,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,dazed and confused,53,1,exact_existing,3cd6ee16-8828-49aa-ab13-ca926d156d5c,DZ,DAZED AND CONFUSED,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,53,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|et,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,et,365,2,exact_existing,bb6b117f-dbf7-4261-9680-84bff7e214bc,ET,E.T. THE EXTRATERRESTRIAL,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_canonical_code_under_resolved_licensor,,,true,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|field of dreams,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,field of dreams,19,1,exact_existing,f98b536b-8227-4c40-96eb-20be20019221,FD,FIELD OF DREAMS,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,23,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|gabbys dollhouse,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,gabbys dollhouse,1902,1,exact_existing,dabdc9d7-1556-4d96-abbd-7c6036bc8f2a,GD,GABBY'S DOLLHOUSE,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,1902,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|half baked,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,half baked,67,1,exact_existing,7164dc50-4c3a-42a1-90a1-9f9af1e8c0de,HB,HALF BAKED,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,67,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|halloween ii,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,halloween ii,176,1,exact_existing,132676c7-6d22-4f76-a8cb-be1928e43979,HN,HALLOWEEN II,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,246,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|happy gilmore,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,happy gilmore,99,1,exact_existing,9359cb30-a6b7-47ce-8915-7ada4cc8ad21,HG,HAPPY GILMORE,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,118,false,false,false,false
