relationship_id,file_id,normalized_licensor,resolved_licensor_id,resolved_licensor_name,licensor_resolution,licensor_alias,normalized_observed_property,raw_property_value,current_property_id,current_property_name,current_property_licensor_id,current_property_licensor_name,removal_reason,source,status,rule_version
00c18096-0427-4d8c-bce9-450aec15ee9e,249ba09c-de20-4126-b08b-77e709b8d89e,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
010416c7-e6b4-412c-b52b-4c83b299e75a,7127316b-dcd0-4763-8191-72153c92c8b2,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
0104b37f-36d7-48fe-8352-1c4c8aa7ea41,ec737b44-4b3e-4257-bb16-1f1da9b472f3,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
0105d6fc-cb94-4396-92fa-c303f5916aca,2bd958b4-420a-458f-a489-29b4a8312ca6,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
010e369f-4572-4f41-a88d-bac3fbd187b9,baf420f4-f2cb-439a-9270-f4f45bba7669,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
011580a0-0a84-42ef-9131-47fba2d6f066,0b1cf336-271d-4b1f-bf3f-207ae40b0c3f,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
01168c95-7019-4bec-b930-410677177d71,f03d8c40-aaf4-4468-b628-6bbd397f379e,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
011acbe6-9c7e-426b-962d-b381645228b6,dcaa2083-c0a3-4ea0-b4f9-e9bbd3f58a7c,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
011d6871-fe5c-48b5-84b9-c3eb625db0ee,bd28f725-4dae-4241-a8cf-259cc00725c6,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
011fb211-aa55-4522-a2dc-f422dee654b5,702782c2-cf09-4ca9-ae2e-d443170bf490,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
01334cb8-35f4-4336-bf75-0fa4f5474389,9f3c3e81-f3e1-4b9d-aea3-096090ea7378,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
01363241-6fc9-4c7b-84c6-0fdea2d1ce7c,69eaa9c9-5954-4600-bb51-8cf0d147fdc0,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
0144b172-e02a-40e5-809d-307c0707d2a3,a0c71bf0-29b1-43a8-85f0-fc4212cdbdeb,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
014a6ab6-e780-4955-b3f1-e3ff2bcb2915,bbdcc730-fe17-47a6-adbd-806ddc7ef6de,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
01520aba-57f2-4a22-ae70-ec3657293e5f,a2d94179-290e-4b8d-9f0c-de158d4ce346,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
0167367e-9c6c-4990-a111-34fe096406e0,9d25e3e9-196b-4753-a782-9c4d87d376a0,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
016e2cd0-2484-4fc4-9f39-66bdda4f7554,808a4000-fd8e-4dc6-a8ed-3615ab7bc73b,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
0171f67a-8b5a-42f0-9960-aa8d0f85ba3b,96e3b8bc-5174-417f-a328-4c1ec534d236,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
0179f927-84c2-47fa-a988-0c240967fe64,c81643d4-1543-46b9-afb3-1183afd15ee5,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
017e2ef1-7db7-416a-aa5c-10b7f7a4ba45,73b53e4e-0434-432b-b0b0-5869de0d8f0b,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
019339ff-dfc9-477c-95f3-92e4f56f9ccb,5a50cc9b-f6f8-4e80-8053-c84fcae44f47,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
019a12e4-3c89-4c03-8d32-844d1195a48e,6c70c09d-4a0e-4165-9b2a-df5045b806ed,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
01a4426e-4f2e-42f7-8dfd-3db397861640,8ffc4001-e1b9-4aa5-b577-a3f4beec476c,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
01c078f9-9e63-43d9-9947-c7ce67fed2e4,422459a0-169f-4b4f-a01d-b1b21e77e024,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
01c2caa6-31ae-413e-8c87-1d5614a3986c,94a50031-1ab8-4784-9857-82505dd4c249,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
01d0f0ff-8329-46c2-9d35-a82ad2d18306,cefca84f-4d22-4125-be30-6401908eb163,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
01f2f3fc-cdee-4315-9dcf-54e1bdf2fbcf,5ad62c61-c2f7-4071-850e-b5c74edd902c,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
01f4a935-6d1c-434c-a425-20f8b72f6ae6,aee7b890-575d-49fa-a5fc-d71379b9ccad,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
01f5ee87-50b8-4b67-abc1-68394fd38a5a,d5b0f8e6-a575-4408-b7a4-58d845a0b072,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
0203a4dc-13cf-47be-9091-0ded1034cfa8,73b33617-5df1-46f6-a80f-a8009295778f,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
020f4e35-5a55-4474-b1b2-51d5bbeabf45,d3e9f092-6aa2-496d-8e29-dfcf09560fbf,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
0225a08e-a071-4fd4-84ac-3a86865fe741,ceb2e387-c431-4dfa-8e8d-e2398cad1069,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
023565d5-99c3-4c73-824d-30b788783ae0,e75a1947-33e3-451d-a311-23a66912afb6,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
023739a9-7d18-44aa-8699-a8ff0757057b,ff942123-8b9e-4cd0-8df9-d97770a451f9,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
02380211-9c80-4a2d-a0e4-2b6e87acc854,dd9340c3-da99-4c6b-9d31-e3c66b0ff8a1,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
02385f1e-759a-494b-90c3-2eb419503acb,12759285-6029-412b-9fd6-02d3b3d50291,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
023ecb29-8485-4370-8bd7-77c83ee1d3b9,45c35565-bb87-4fcd-a73a-06b6e2785707,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
023efe6e-f47f-46e0-bb2e-e414824ecbaa,d2297d71-7f93-440e-88a8-9a6fc90751ac,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
0240476a-0ba2-4d28-b463-dd8de728e44f,5a580590-30e4-4674-9597-68cb8242baa6,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
024ec87b-2796-4d7b-b08b-829b4ae9335f,a78dbd3d-89eb-4913-920c-f0d567c747c7,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
025a3a87-0722-40ed-a96a-e71d9784ae8c,68378120-5f60-4cf0-aba4-33a7b4dacc36,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
025ae8fa-4d7e-4a11-8e42-1598de4f932e,56c10cf9-6a8e-4b63-af3e-8df725567cf1,wb,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,resolved,,harry potter,Harry Potter,d07d42a6-067e-4ff2-a362-2c560dd179c6,HARRY POTTER,ea61e3bb-37f2-4cef-a6f4-8aa314ea131f,HARRY POTTER,cross_parent_global_match,path,accepted,deterministic-v2
