alias,canonical_licensor,active_file_count,property_present_file_count,distinct_normalized_property_count,accepted_property_relationship_count,currently_tagged_at_risk_relationship_count,property_values
NBC Universal,NBC,25731,25716,54,14931,0,"[""8 mile"",""an american werewolf in london"",""apollo 13"",""big lebowski"",""bttf"",""casper"",""cheech chongs next movie"",""chucky"",""curious george"",""dazed and confused"",""et"",""fast and the furious franchise"",""fast times at ridgemont high"",""felix the cat"",""field of dreams"",""gabbys dollhouse"",""gam cleared editorial"",""half baked"",""halloween ii"",""happy gilmore"",""hot stuff"",""how high"",""how to train your dragon"",""jaws"",""jurassic park"",""jurassic world franchise"",""kung fu panda"",""lamb chop"",""lassie"",""little drummer boy"",""little golden books"",""m3 gan"",""minions"",""nbcu cleared editorial"",""office"",""parks rec"",""santa claus is coming to town"",""saved by the bell"",""scarface"",""shrek"",""slapshot"",""target"",""the exorcist"",""the land before time"",""the lone ranger"",""the mummy 1999"",""trolls"",""universal monsters"",""voltron"",""welcome to extraordinary"",""wheres waldo"",""wicked live action movie"",""wicked live action part 2"",""woody woodpecker friends""]"
Marvel Style Guide,Marvel,14636,14636,11,7474,0,"[""2025 ss marvel creative rollout"",""avengers"",""disney shows"",""holiday"",""marvel universe publishing art archive"",""spider man"",""ss 25 marvel brand logo update"",""style guide case by case"",""style guide evergreen priorities"",""style guide opportunity"",""theatrical releases""]"
One Piece,TOEI - ONE PIECE,8383,8377,3,2471,0,"[""copyright"",""logo"",""style guide""]"
Peanuts,Peanuts Worldwide,3509,3496,97,3705,0,"[""2022"",""3 d turnarounds"",""70th anniversary paper"",""70th anniversary peanuts logo"",""70th anniversary then and now"",""75th anniversary comfort and security style guide"",""75th anniversary persistence style guide"",""aloha disco"",""american summer"",""americana"",""apres ski"",""astronaut pose art volume 1"",""astronaut pose art volume 2"",""astronomy geometry"",""au bord de la mer"",""baseball"",""be yourself"",""beach vibes"",""beagle scouts"",""black and white"",""boardwalk airbrush"",""british invasion"",""brooklyn beach"",""calypso beach"",""campus fashion"",""catch a wave"",""character art"",""circus"",""classic comics"",""cozy snoopy"",""cute cuddly gray"",""day of the dog"",""deco dreams"",""deep space"",""doodles"",""dreams in wonderland"",""editorial"",""flair"",""graffiti"",""groovy vibes"",""half laugh"",""holiday"",""i am charlie brown"",""idea box"",""illustrating nature"",""in bloom"",""joe cool 50 years"",""jungle adventure"",""just add sprinkles"",""little painters"",""love is in bloom"",""many faces of snoopy beagle scout"",""many faces of snoopy fierce pirate"",""many faces of snoopy flash beagle"",""many faces of snoopy flying ace"",""many faces of snoopy joe cool"",""many faces of snoopy joe preppy"",""many faces of snoopy masked marvel"",""many faces of snoopy secret agent"",""mod for you"",""naturally sweet"",""nautical"",""nautical snoopy"",""neon static"",""nestled in the mountains"",""new formations"",""ok to be"",""out west"",""outdoor fun"",""packaging"",""party animal"",""peanuts records"",""pink rebelion"",""play dream giggle"",""playtime"",""playtime naptime"",""posh sports"",""progressive sequence"",""psychedelic pop"",""rainbow riot"",""rebel with paws"",""repetition distortion"",""road trip"",""road trippin style guide"",""rock on"",""rock tees"",""rock the fest style guide"",""romantical"",""smile giggle laugh"",""snoopy mustachios"",""space cowboy"",""space traveler"",""text montage"",""the great outdoors"",""tokyo time"",""tv specials"",""woodstock 50th""]"
Sesame Workshop,Sesame Street,1630,1626,5,77,0,"[""baby art styleguides"",""core art"",""packaging"",""trend guides"",""vintage and retro collections""]"
Paramount,Viacom Multi,9052,9049,25,5524,0,"[""avatar the last airbender"",""beverly hills 90210"",""brady bunch"",""cheers"",""clueless"",""ferris buellers day off"",""footloose"",""forrest gump core style guide"",""garfield"",""grease"",""happy days"",""invader zim"",""its a wonderful life"",""mean girls 2004"",""mighty mouse"",""scream franchise"",""spongebob"",""the anchorman the legend of ron burgundy"",""the godfather"",""the twilight zone"",""tmnt"",""top gun"",""top gun maverick"",""viacom 2023 rollout"",""yellowstone""]"
Nickelodeon,Viacom Multi,0,0,0,0,0,[]
Viacom,Viacom Multi,0,0,0,0,0,[]
