observation_key,licensor_resolution,resolved_licensor_id,resolved_licensor_name,normalized_licensor,normalized_observed_value,active_file_count,raw_property_variants,structural_folder_hint,current_global_would_resolve,currently_tagged_at_risk,proposal_eligible,proposal_exclusion_reason
5f951f5e-aaee-4add-bb51-fea888951405|viacom 2023 rollout,resolved,5f951f5e-aaee-4add-bb51-fea888951405,VIACOM MULTI,paramount,viacom 2023 rollout,193,"[[""Viacom 2023 Rollout"",193]]",false,false,false,true,
1619ecdc-a0ad-4d1e-b8f2-7ea2aa1184fb|packaging,resolved,1619ecdc-a0ad-4d1e-b8f2-7ea2aa1184fb,SESAME STREET,sesame workshop,packaging,189,"[[""Packaging"",189]]",false,false,false,true,
88313675-0089-4072-87be-5b989df8a3fc|wb 100,resolved,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,wb,wb 100,187,"[[""WB 100"",187]]",false,false,false,true,
5f951f5e-aaee-4add-bb51-fea888951405|clueless,resolved,5f951f5e-aaee-4add-bb51-fea888951405,VIACOM MULTI,paramount,clueless,178,"[[""Clueless"",178]]",false,false,false,true,
7575d1db-dbee-4336-84a9-aa378f05f105|premium live events,resolved,7575d1db-dbee-4336-84a9-aa378f05f105,WWE,wwe,premium live events,177,"[[""Premium Live Events"",177]]",false,false,false,true,
154bf54b-6f7d-4999-b0fb-c2828b12b56a|target,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,nbc universal,target,174,"[[""_target"",174]]",false,false,false,true,
154bf54b-6f7d-4999-b0fb-c2828b12b56a|the mummy 1999,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,nbc universal,the mummy 1999,163,"[[""The Mummy (1999)"",163]]",false,false,false,true,
154bf54b-6f7d-4999-b0fb-c2828b12b56a|the lone ranger,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,nbc universal,the lone ranger,159,"[[""The Lone Ranger"",159]]",false,false,false,true,
5f951f5e-aaee-4add-bb51-fea888951405|grease,resolved,5f951f5e-aaee-4add-bb51-fea888951405,VIACOM MULTI,paramount,grease,159,"[[""Grease"",159]]",false,false,false,true,
14f2902d-42de-4820-83c5-e4f359a6e0d6|old,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,star wars,old,156,"[[""_old"",156]]",false,false,false,true,
5f951f5e-aaee-4add-bb51-fea888951405|the twilight zone,resolved,5f951f5e-aaee-4add-bb51-fea888951405,VIACOM MULTI,paramount,the twilight zone,146,"[[""The Twilight Zone"",146]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|2022,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,2022,141,"[[""_2022"",141]]",false,false,false,true,
154bf54b-6f7d-4999-b0fb-c2828b12b56a|welcome to extraordinary,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,nbc universal,welcome to extraordinary,138,"[[""Welcome to Extraordinary"",138]]",false,false,false,true,
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev saga poster style guide,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,star wars,ev saga poster style guide,137,"[[""EV_Saga-Poster-Style-Guide"",137]]",true,false,false,true,
41b43c61-aaea-4f9d-b84c-abfb04de59f1|budweiser,resolved,41b43c61-aaea-4f9d-b84c-abfb04de59f1,Anheuser Busch,anheuser busch,budweiser,131,"[[""Budweiser"",131]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|idea box,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,idea box,123,"[[""Idea Box"",123]]",false,false,false,true,
154bf54b-6f7d-4999-b0fb-c2828b12b56a|little drummer boy,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,nbc universal,little drummer boy,120,"[[""Little Drummer Boy"",120]]",false,false,false,true,
14f2902d-42de-4820-83c5-e4f359a6e0d6|2024,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,star wars,2024,114,"[[""2024"",114]]",false,false,false,true,
14f2902d-42de-4820-83c5-e4f359a6e0d6|2022,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,star wars,2022,113,"[[""2022"",113]]",false,false,false,true,
afff41a6-df31-4a9a-aea5-b919d1daff54|flair,resolved,afff41a6-df31-4a9a-aea5-b919d1daff54,PEANUTS WORLDWIDE,peanuts,flair,113,"[[""Flair"",113]]",false,false,false,true,
14f2902d-42de-4820-83c5-e4f359a6e0d6|mandalorian and grogu movie,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,star wars,mandalorian and grogu movie,106,"[[""Mandalorian and Grogu Movie"",106]]",false,false,false,true,
88313675-0089-4072-87be-5b989df8a3fc|house of the dragon,resolved,88313675-0089-4072-87be-5b989df8a3fc,WARNER BROS,wb,house of the dragon,102,"[[""House of the Dragon"",102]]",false,false,false,true,
